TOKEN	NE-COARSE-LIT	NE-COARSE-METO
l	O	O
'	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/626,2100,516,53/full/0/default.jpg
acquittement	O	O
de	O	O
son	O	O
impôt	O	O
sur	O	O
les	O	O
bénéfices	O	O
de	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/625,2123,91,52/full/0/default.jpg
guerre	O	O
?	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/649,2146,492,53/full/0/default.jpg
L	O	O
'	O	O
office	O	O
de	O	O
l	O	O
'	O	O
impôt	O	O
a	O	O
-	O	O
t	O	O
-	O	O
il	O	O
,	O	O
ici	O	O
aussi	O	O
,	O	O
poussé	O	O
la	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/625,2171,516,52/full/0/default.jpg
curiosité	O	O
jusqu	O	O
'	O	O
à	O	O
faire	O	O
irruption	O	O
dans	O	O
les	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/625,2194,516,53/full/0/default.jpg
bureaux	O	O
pour	O	O
s	O	O
'	O	O
emparer	O	O
des	O	O
livres	O	O
de	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/625,2217,516,53/full/0/default.jpg
comptabilité	O	O
,	O	O
ou	O	O
bien	O	O
s	O	O
'	O	O
est	O	O
-	O	O
il	O	O
contenté	O	O
de	O	O
la	O	O
première	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/625,2242,517,53/full/0/default.jpg
déclaration	O	O
venue	O	O
en	O	O
croyant	O	O
ces	O	O
messieurs	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/625,2264,514,53/full/0/default.jpg
d	O	O
'	O	O
outre	B-loc	O
-	I-loc	O
Rhin	I-loc	O
sur	O	O
parole	O	O
?	O	O
Il	O	O
serait	O	O
extrêmement	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/625,2289,387,53/full/0/default.jpg
intéressant	O	O
d	O	O
'	O	O
être	O	O
édifié	O	O
à	O	O
ce	O	O
sujet	O	O
.	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/651,2313,490,53/full/0/default.jpg
M	B-pers	O
.	I-pers	O
de	I-pers	O
Rathenau	I-pers	O
se	O	O
serait	O	O
vanté	O	O
qu	O	O
'	O	O
une	O	O
de	O	O
ses	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/625,2337,514,53/full/0/default.jpg
plus	O	O
grandes	O	O
habiletés	O	O
fut	O	O
de	O	O
faire	O	O
échapper	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/628,2360,513,53/full/0/default.jpg
Metallum	O	O
au	O	O
fisc	O	O
suisse	O	O
.	O	O
M	B-pers	O
.	I-pers	O
Schulthess	I-pers	O
est	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/625,2384,279,52/full/0/default.jpg
très	O	O
au	O	O
courant	O	O
,	O	O
paraît	O	O
-	O	O
il	O	O
.	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/651,2421,489,53/full/0/default.jpg
—	O	O
Du	O	O
z	O	O
Démocrate	O	O
»	O	O
:	O	O
Nous	O	O
apprenons	O	O
que	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/628,2450,515,52/full/0/default.jpg
tout	O	O
le	O	O
dossier	O	O
de	O	O
l	O	O
'	O	O
affaire	O	O
Bloch	B-pers	O
a	O	O
été	O	O
remis	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/627,2479,516,53/full/0/default.jpg
à	O	O
la	O	O
chambre	O	O
d	O	O
'	O	O
accusation	O	O
du	O	O
tribunal	O	O
fédéral	O	O
,	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/628,2509,514,53/full/0/default.jpg
qui	O	O
aura	O	O
à	O	O
se	O	O
prononcer	O	O
sur	O	O
la	O	O
mise	O	O
en	O	O
liberté	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/627,2538,514,53/full/0/default.jpg
provisoire	O	O
de	O	O
M	B-pers	O
.	I-pers	O
Jules	I-pers	O
Bloch	I-pers	O
.	O	O
La	O	O
décision	O	O
sera	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/628,2567,295,52/full/0/default.jpg
prise	O	O
d	O	O
'	O	O
ici	O	O
quelques	O	O
jours	O	O
.	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/653,2596,489,53/full/0/default.jpg
M	B-pers	O
.	I-pers	O
Bloch	I-pers	O
paraît	O	O
très	O	O
nerveux	O	O
à	O	O
la	O	O
suite	O	O
du	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/626,2625,516,53/full/0/default.jpg
régime	O	O
auquel	O	O
il	O	O
est	O	O
soumis	O	O
;	O	O
les	O	O
procédés	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/627,2654,513,52/full/0/default.jpg
dont	O	O
on	O	O
use	O	O
à	O	O
son	O	O
égard	O	O
le	O	O
mettent	O	O
dans	O	O
un	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/628,2682,513,53/full/0/default.jpg
état	O	O
d	O	O
'	O	O
excitation	O	O
bien	O	O
compréhensible	O	O
.	O	O
On	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/628,2712,515,53/full/0/default.jpg
avait	O	O
promis	O	O
vendredi	O	O
dernier	O	O
la	O	O
mise	O	O
en	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/626,2741,517,53/full/0/default.jpg
liberté	O	O
sans	O	O
condition	O	O
de	O	O
M	B-pers	O
.	I-pers	O
Achille	I-pers	O
Rossé	I-pers	O
,	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/626,2770,518,53/full/0/default.jpg
ancien	O	O
employé	O	O
du	O	O
département	O	O
de	O	O
l	O	O
'	O	O
économie	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/626,2799,517,53/full/0/default.jpg
publique	O	O
,	O	O
qui	O	O
a	O	O
reçu	O	O
de	O	O
M	B-pers	O
.	I-pers	O
Bloch	I-pers	O
une	O	O
somme	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/627,2828,514,53/full/0/default.jpg
de	O	O
5000	O	O
fr	O	O
.	O	O
Samedi	O	O
,	O	O
chez	O	O
les	O	O
siens	O	O
,	O	O
on	O	O
attendait	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/628,2857,205,53/full/0/default.jpg
encore	O	O
son	O	O
retour	O	O
.	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/653,2908,489,53/full/0/default.jpg
C	B-time	O
.	I-time	O
F	I-time	O
.	I-time	O
F	I-time	O
.	I-time	O
—	O	O
Le	O	O
conseil	O	O
d	O	O
'	O	O
administration	O	O
des	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/628,2937,515,53/full/0/default.jpg
C	B-time	O
.	I-time	O
F	I-time	O
.	I-time	O
F	I-time	O
.	I-time	O
a	O	O
discuté	O	O
les	O	O
propositions	O	O
relatives	O	O
h	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/626,2965,516,53/full/0/default.jpg
l	O	O
'	O	O
octroi	O	O
d	O	O
'	O	O
allocations	O	O
de	O	O
renchérissement	O	O
aux	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/627,2996,516,52/full/0/default.jpg
pensionnaires	O	O
pour	B-time	O
1918	I-time	O
.	O	O
Il	O	O
a	O	O
décidé	O	O
de	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/627,3025,515,53/full/0/default.jpg
recommander	O	O
au	O	O
Conseil	B-org	O
fédéral	I-org	O
,	O	O
pour	O	O
être	O	O
soumis	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/628,3054,516,53/full/0/default.jpg
aux	O	O
Chambres	O	O
,	O	O
un	O	O
projet	O	O
disant	O	O
:	O	O
«	O	O
L	O	O
'	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/628,3083,514,53/full/0/default.jpg
administration	O	O
des	O	O
C	B-time	O
.	I-time	O
F	I-time	O
.	I-time	O
F	I-time	O
.	I-time	O
est	O	O
autorisée	O	O
à	O	O
verser	O	O
pour	B-time	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/629,3111,515,53/full/0/default.jpg
1918	I-time	O
,	O	O
aux	O	O
anciens	O	O
fonctionnaires	O	O
,	O	O
employés	O	O
à	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/628,3140,515,53/full/0/default.jpg
poste	O	O
fixe	O	O
et	O	O
ouvriers	O	O
vivant	O	O
en	O	O
Suisse	B-loc	O
qui	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/629,3169,515,53/full/0/default.jpg
sont	O	O
pensionnés	O	O
par	O	O
des	O	O
caisses	O	O
de	O	O
secours	O	O
ou	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/629,3198,514,53/full/0/default.jpg
touchent	O	O
une	O	O
rente	O	O
par	O	O
suite	O	O
d	O	O
'	O	O
accident	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/628,3228,514,53/full/0/default.jpg
donnant	O	O
lieu	O	O
à	O	O
responsabilité	O	O
civile	O	O
,	O	O
ainsi	O	O
qu	O	O
'	O	O
aux	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/628,3257,515,53/full/0/default.jpg
survivants	O	O
d	O	O
'	O	O
anciens	O	O
agents	O	O
se	O	O
trouvant	O	O
dans	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/629,3286,515,53/full/0/default.jpg
le	O	O
même	O	O
cas	O	O
,	O	O
un	O	O
subside	O	O
de	O	O
guerre	O	O
de	O	O
340	O	O
fr	O	O
.	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/627,3315,515,53/full/0/default.jpg
par	O	O
invalide	O	O
;	O	O
210	O	O
fr	O	O
.	O	O
par	O	O
veuve	O	O
;	O	O
_	O	O
0	O	O
fr	O	O
.	O	O
par	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/628,3345,514,53/full/0/default.jpg
orphelin	O	O
et	O	O
270	O	O
fr	O	O
.	O	O
par	O	O
ouvrier	O	O
.	O	O
Il	O	O
est	O	O
ouvert	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/627,3373,514,53/full/0/default.jpg
à	O	O
la	O	O
direction	O	O
pour	O	O
le	O	O
paiement	O	O
du	O	O
subside	O	O
un	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/628,3401,266,53/full/0/default.jpg
crédit	O	O
,	O	O
de	O	O
1,950,000	O	O
fr	O	O
.	O	O
»	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/654,3452,491,53/full/0/default.jpg
Courbons	O	O
l	O	O
'	O	O
échiné	O	O
!	O	O
—	O	O
Le	O	O
peuple	O	O
suisse	O	O
a	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/629,3481,513,53/full/0/default.jpg
appris	O	O
avec	O	O
soulagement	O	O
,	O	O
joie	O	O
et	O	O
bonheur	O	O
que	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/628,3510,516,53/full/0/default.jpg
la	O	O
douce	O	O
et	O	O
gracieuse	O	O
Germanie	O	O
va	O	O
lui	O	O
envoyer	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/628,3540,518,53/full/0/default.jpg
300	O	O
tonnes	O	O
de	O	O
voies	O	O
Decauville	O	O
.	O	O
A	O	O
quel	O	O
prix	O	O
,	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/629,3568,516,53/full/0/default.jpg
et	O	O
à	O	O
quelles	O	O
conditions	O	O
?	O	O
Personne	O	O
ne	O	O
le	O	O
dit	O	O
,	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/628,3597,516,53/full/0/default.jpg
mais	O	O
on	O	O
le	O	O
devine	O	O
.	O	O
Par	O	O
contre	O	O
,	O	O
le	O	O
communiqué	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/629,3626,515,53/full/0/default.jpg
quasi	O	O
-	O	O
officiel	O	O
sur	O	O
la	O	O
_	O	O
matière	O	O
n	O	O
'	O	O
oublie	O	O
pas	O	O
de	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/628,3655,518,53/full/0/default.jpg
recommander	O	O
la	O	O
gratitude	O	O
envers	O	O
le	O	O
pays	O	O
qui	O	O
,	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/628,3684,514,53/full/0/default.jpg
malgré	O	O
les	O	O
difficultés	O	O
présentes	O	O
,	O	O
nous	O	O
fait	O	O
un	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/628,3713,524,53/full/0/default.jpg
cadeau	O	O
superbe	O	O
.	O	O
Ah	O	O
!	O	O
le	O	O
bon	O	O
billet	O	O
que	O	O
voilà	O	O
!	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/653,3742,488,53/full/0/default.jpg
Lorsqu	O	O
_	O	O
'	O	O
en	B-time	O
1915	I-time	O
,	O	O
des	O	O
accapareurs	O	O
râflaiant	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/629,3771,513,53/full/0/default.jpg
toutes	O	O
les	O	O
voies	O	O
Decauville	O	O
de	O	O
la	O	O
Suisse	B-loc	O
,	O	O
et	O	O
au	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/629,3799,512,53/full/0/default.jpg
vu	O	O
et	O	O
au	O	O
su	O	O
do	O	O
nos	O	O
autorités	O	O
,	O	O
leur	O	O
faisaient	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/629,3828,514,53/full/0/default.jpg
prendre	O	O
le	O	O
chemin	O	O
que	O	O
vous	O	O
savez	O	O
,	O	O
qui	O	O
est	O	O
-	O	O
ce	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/629,3858,515,53/full/0/default.jpg
qui	O	O
a	O	O
protesté	O	O
?	O	O
qui	O	O
est	O	O
-	O	O
ce	O	O
qui	O	O
a	O	O
interdit	O	O
l	O	O
'	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/629,3886,515,53/full/0/default.jpg
exportation	O	O
?	O	O
Personne	O	O
,	O	O
n	O	O
'	O	O
est	O	O
-	O	O
ce	O	O
pas	O	O
?	O	O
Et	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/628,3915,516,53/full/0/default.jpg
jourd	O	O
'	O	O
hui	O	O
,	O	O
parce	O	O
qu	O	O
'	O	O
il	O	O
faut	O	O
à	O	O
tout	O	O
prix	O	O
du	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/629,3944,514,53/full/0/default.jpg
matériel	O	O
,	O	O
nous	O	O
devons	O	O
donner	O	O
à	O	O
la	O	O
place	O	O
lait	O	O
et	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/631,3973,513,53/full/0/default.jpg
beau	O	O
bétail	O	O
,	O	O
puis	O	O
encore	O	O
courber	O	O
l	O	O
'	O	O
échiné	O	O
?	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/628,4002,519,53/full/0/default.jpg
Non	O	O
,	O	O
c	O	O
'	O	O
est	O	O
trop	O	O
.	O	O
Relevons	O	O
la	O	O
tête	O	O
,	O	O
au	O	O
contraire	O	O
,	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/629,4030,516,53/full/0/default.jpg
et	O	O
faisons	O	O
front	O	O
contre	O	O
les	O	O
gens	O	O
qui	O	O
,	O	O
à	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/629,4059,515,53/full/0/default.jpg
l	O	O
'	O	O
intérieur	O	O
du	O	O
pays	O	O
,	O	O
font	O	O
foin	O	O
de	O	O
son	O	O
honneur	O	O
et	O	O
de	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/629,4087,120,53/full/0/default.jpg
sa	O	O
_	O	O
durnito	O	O
.	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/1206,1422,486,53/full/0/default.jpg
La	O	O
contrettande	O	O
.	O	O
—	O	O
L	O	O
'	O	O
un	O	O
des	O	O
secrétaires	O	O
du	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/1181,1451,509,53/full/0/default.jpg
consulat	O	O
d	O	O
'	O	O
Allemagne	B-loc	O
à	O	O
Schaffhouse	B-loc	O
vient	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/1180,1480,511,53/full/0/default.jpg
d	O	O
'	O	O
être	O	O
condamné	O	O
à	O	O
35,000	O	O
francs	O	O
d	O	O
'	O	O
amende	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/1180,1509,512,53/full/0/default.jpg
pour	O	O
s	O	O
'	O	O
être	O	O
livré	O	O
à	O	O
la	O	O
contrebande	O	O
.	O	O
Il	O	O
a	O	O
,	O	O
en	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/1180,1538,311,53/full/0/default.jpg
outre	O	O
,	O	O
été	O	O
expulsé	O	O
du	O	O
pays	O	O
.	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/1205,1566,486,53/full/0/default.jpg
C	O	O
'	O	O
est	O	O
le	O	O
troisième	O	O
fonctionnaire	O	O
allemand	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/1180,1597,513,53/full/0/default.jpg
détaché	O	O
à	O	O
ce	O	O
consulat	O	O
,	O	O
créé	O	O
depuis	O	O
neuf	O	O
mois	O	O
,	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/1180,1626,512,53/full/0/default.jpg
qui	O	O
se	O	O
trouve	O	O
inculpé	O	O
dans	O	O
des	O	O
affaires	O	O
d	O	O
'	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/1179,1655,511,53/full/0/default.jpg
espionnage	O	O
ou	O	O
de	O	O
contrebande	O	O
.	O	O
Les	O	O
deux	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/1179,1684,512,53/full/0/default.jpg
personnes	O	O
arrêtées	O	O
antérieurement	O	O
étaient	O	O
des	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/1178,1714,88,53/full/0/default.jpg
consuls	O	O
.	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/1199,1755,493,53/full/0/default.jpg
BERNE	B-loc	O
.	O	O
—	O	O
L	O	O
'	O	O
honorable	O	O
corporation	O	O
des	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/1175,1779,517,53/full/0/default.jpg
lessiveuses	O	O
de	O	O
la	O	O
ville	O	O
fédérale	O	O
a	O	O
décidé	O	O
d	O	O
'	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/1174,1803,517,53/full/0/default.jpg
augmenter	O	O
son	O	O
tarif	O	O
.	O	O
Ces	O	O
dames	O	O
demandent	O	O
maintenant	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/1175,1827,516,53/full/0/default.jpg
huit	O	O
francs	O	O
par	O	O
journée	O	O
sans	O	O
la	O	O
nourriture	O	O
,	O	O
et	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/1176,1851,524,53/full/0/default.jpg
six	O	O
francs	O	O
avec	O	O
la	O	O
nourriture	O	O
.	O	O
C	O	O
'	O	O
est	O	O
la	O	O
guerre	O	O
!	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/1200,1891,491,53/full/0/default.jpg
VALAIS	O	O
.	O	O
—	O	O
Une	O	O
terrible	O	O
bagarre	O	O
s	O	O
'	O	O
est	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/1175,1914,516,53/full/0/default.jpg
produite	O	O
,	O	O
dans	O	O
la	O	O
journée	O	O
de	O	O
samedi	O	O
,	O	O
sur	O	O
la	O	O
place	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/1175,1938,515,53/full/0/default.jpg
de	O	O
Monthey	B-loc	O
.	O	O
Les	O	O
quatre	O	O
frères	O	O
Comte	O	O
,	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/1175,1962,516,53/full/0/default.jpg
chiffonniers	O	O
,	O	O
se	O	O
sont	O	O
battus	O	O
,	O	O
sous	O	O
l	O	O
'	O	O
influence	O	O
de	O	O
la	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/1175,1986,515,53/full/0/default.jpg
boisson	O	O
,	O	O
à	O	O
coups	O	O
de	O	O
couteaux	O	O
et	O	O
de	O	O
barres	O	O
de	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/1175,2009,515,53/full/0/default.jpg
fer	O	O
.	O	O
L	O	O
'	O	O
un	O	O
d	O	O
'	O	O
eux	O	O
,	O	O
grièvement	O	O
blessé	O	O
,	O	O
a	O	O
dû	O	O
être	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/1175,2033,517,53/full/0/default.jpg
transporté	O	O
à	O	O
l	O	O
'	O	O
infirmerie	O	O
.	O	O
Deux	O	O
autres	O	O
ont	O	O
été	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/1175,2057,514,53/full/0/default.jpg
arrêtés	O	O
.	O	O
La	O	O
population	O	O
a	O	O
été	O	O
obligée	O	O
de	O	O
prêter	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/1176,2081,248,53/full/0/default.jpg
main	O	O
-	O	O
forte	O	O
à	O	O
la	O	O
police	O	O
.	O	O
""""	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/1199,2121,492,53/full/0/default.jpg
FRIBOURG	B-loc	O
.	O	O
—	O	O
Le	O	O
marché	O	O
-	O	O
concours	O	O
de	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/1175,2145,516,53/full/0/default.jpg
taureaux	O	O
qui	O	O
s	O	O
'	O	O
est	O	O
ouvert	O	O
mercredi	O	O
dans	O	O
les	O	O
étables	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/1175,2168,515,53/full/0/default.jpg
du	O	O
Tirage	O	O
,	O	O
à	O	O
Bulle	B-loc	O
,	O	O
a	O	O
revêtu	O	O
dès	O	O
le	O	O
matin	O	O
une	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/1174,2191,515,53/full/0/default.jpg
animation	O	O
extraordinaire	O	O
.	O	O
Les	O	O
transactions	O	O
ont	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/1175,2215,517,53/full/0/default.jpg
commencé	O	O
dès	O	O
l	O	O
'	O	O
arrivée	O	O
des	O	O
premiers	O	O
taureaux	O	O
.	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1918-09-10-a-p0003/1199,2239,494,53/full/0/default.jpg
La	O	O
journée	O	O
de	O	O
jeudi	O	O
